Date,Movie,Chain,Screenings,Screen_Share(%)
2019년 01월 18일(Fri),내안의 그놈,CGV,1205,16.6%
2019년 01월 18일(Fri),내안의 그놈,롯데시네마,1071,19.8%
2019년 01월 18일(Fri),내안의 그놈,메가박스,812,18.0%
2019년 01월 18일(Fri),내안의 그놈,씨네Q,45,18.5%
2019년 01월 18일(Fri),언더독,CGV,500,6.9%
2019년 01월 18일(Fri),언더독,롯데시네마,347,6.4%
2019년 01월 18일(Fri),언더독,메가박스,229,5.1%
2019년 01월 18일(Fri),언더독,씨네Q,19,7.8%
2019년 01월 18일(Fri),그대 이름은 장미,CGV,355,4.9%
2019년 01월 18일(Fri),그대 이름은 장미,롯데시네마,279,5.2%
2019년 01월 18일(Fri),그대 이름은 장미,메가박스,329,7.3%
2019년 01월 18일(Fri),그대 이름은 장미,씨네Q,22,9.1%
2019년 01월 19일(Sat),말모이,CGV,1574,20.9%
2019년 01월 19일(Sat),말모이,롯데시네마,1421,24.9%
2019년 01월 19일(Sat),말모이,메가박스,1051,21.9%
2019년 01월 19일(Sat),말모이,씨네Q,52,19.8%
2019년 01월 19일(Sat),내안의 그놈,CGV,1392,18.5%
2019년 01월 19일(Sat),내안의 그놈,롯데시네마,1224,21.5%
2019년 01월 19일(Sat),내안의 그놈,메가박스,943,19.7%
2019년 01월 19일(Sat),내안의 그놈,씨네Q,48,18.3%
2019년 01월 19일(Sat),글래스,CGV,1210,16.0%
